"BoroCT2010","County_name","State_name","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_under_5_ACS_08_12","Pop_5_17_ACS_08_12","Pop_18_24_ACS_08_12","Pop_25_44_ACS_08_12","Pop_45_64_ACS_08_12","Pop_65plus_ACS_08_12","Hispanic_ACS_08_12","NH_White_alone_ACS_08_12","NH_Blk_alone_ACS_08_12","NH_AIAN_alone_ACS_08_12","NH_Asian_alone_ACS_08_12","NH_NHOPI_alone_ACS_08_12","NH_SOR_alone_ACS_08_12","Pop_5yrs_Over_ACS_08_12","Othr_Lang_ACS_08_12","Age5p_Only_English_ACS_08_12","Age5p_Spanish_ACS_08_12","Age5p_French_ACS_08_12","Age5p_FrCreole_ACS_08_12","Age5p_Italian_ACS_08_12","Age5p_Portuguese_ACS_08_12","Age5p_German_ACS_08_12","Age5p_Yiddish_ACS_08_12","Age5p_WGerman_ACS_08_12","Age5p_Scandinavian_ACS_08_12","Age5p_Greek_ACS_08_12","Age5p_Russian_ACS_08_12","Age5p_Polish_ACS_08_12","Age5p_SRBCroatian_ACS_08_12","Age5p_OthSlavic_ACS_08_12","Age5p_Armenian_ACS_08_12","Age5p_Persian_ACS_08_12","Age5p_Gujarati_ACS_08_12","Age5p_Hindi_ACS_08_12","Age5p_Urdu_ACS_08_12","Age5p_OthIndic_ACS_08_12","Age5p_OthEuro_ACS_08_12","Age5p_Chinese_ACS_08_12","Age5p_Japanese_ACS_08_12","Age5p_Korean_ACS_08_12","Age5p_Cambodian_ACS_08_12","Age5p_Hmong_ACS_08_12","Age5p_Thai_ACS_08_12","Age5p_Laotian_ACS_08_12","Age5p_Vietnamese_ACS_08_12","Age5p_OthAsian_ACS_08_12","Age5p_Tagalog_ACS_08_12","Age5p_OthPacIsl_ACS_08_12","Age5p_Navajo_ACS_08_12","Age5p_NativeNAm_ACS_08_12","Age5p_Hungarian_ACS_08_12","Age5p_Arabic_ACS_08_12","Age5p_Hebrew_ACS_08_12","Age5p_African_ACS_08_12","Age5p_OthUnSp_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Pov_Univ_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12","Civ_labor_16plus_ACS_08_12","Civ_emp_16plus_ACS_08_12","Civ_unemp_16plus_ACS_08_12","Civ_labor_16_24_ACS_08_12","Civ_emp_16_24_ACS_08_12","Civ_unemp_16_24_ACS_08_12","Civ_labor_25_44_ACS_08_12","Civ_emp_25_44_ACS_08_12","Civ_unemp_25_44_ACS_08_12","Civ_labor_45_64_ACS_08_12","Civ_emp_45_64_ACS_08_12","Civ_unemp_45_64_ACS_08_12","Civ_labor_65plus_ACS_08_12","Civ_emp_65plus_ACS_08_12","Civ_unemp_65plus_ACS_08_12","Pop_1yr_Over_ACS_08_12","Diff_HU_1yr_Ago_ACS_08_12","Born_US_ACS_08_12","Born_foreign_ACS_08_12","US_Cit_Nat_ACS_08_12","NON_US_Cit_ACS_08_12","ENG_VW_SPAN_ACS_08_12","ENG_VW_INDO_EURO_ACS_08_12","ENG_VW_API_ACS_08_12","ENG_VW_OTHER_ACS_08_12","ENG_VW_ACS_08_12","Rel_Family_HHD_ACS_08_12","MrdCple_Fmly_HHD_ACS_08_12","Not_MrdCple_HHD_ACS_08_12","Female_No_HB_ACS_08_12","NonFamily_HHD_ACS_08_12","Sngl_Prns_HHD_ACS_08_12","HHD_PPL_Und_18_ACS_08_12","Tot_Prns_in_HHD_ACS_08_12","Rel_Child_Under_6_ACS_08_12","HHD_Moved_in_ACS_08_12","PUB_ASST_INC_ACS_08_12","Med_HHD_Inc_ACS_08_12","Aggregate_HH_INC_ACS_08_12","Tot_Housing_Units_ACS_08_12","Tot_Occp_Units_ACS_08_12","Tot_Vacant_Units_ACS_08_12","Renter_Occp_HU_ACS_08_12","Owner_Occp_HU_ACS_08_12","Single_Unit_ACS_08_12","MLT_U2_9_STRC_ACS_08_12","MLT_U10p_ACS_08_12","Mobile_Homes_ACS_08_12","Crowd_Occp_U_ACS_08_12","Occp_U_NO_PH_SRVC_ACS_08_12","No_Plumb_ACS_08_12","Recent_Built_HU_ACS_08_12","Med_House_value_ACS_08_12","Aggr_House_Value_ACS_08_12","Low_Response_Score","avg_Tot_Prns_in_HHD_ACS_08_12"
"4000100","Queens County","New York",4637,2674,1963,359,71,332,2889,749,237,406,2984,228,0,888,0,49,4278,1528,2750,47,53,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,138,0,48,0,0,18,0,0,0,12,12,0,0,0,0,0,0,0,3875,75,2947,4633,482,3337,3132,205,193,130,63,2626,2544,82,467,425,42,51,33,18,4502,1466,2921,1716,520,1196,12,55,98,0,165,941,895,1528,39,1482,990,324,4411,305,627,58,"$122,178","$374,521,200",2799,2423,376,1937,486,13,62,2724,0,70,115,28,16,"$522,400","$256,105,000",26.783499381,1.8204704911
"4000200","Queens County","New York",3210,1625,1585,239,640,351,1162,568,250,1767,343,100,0,951,0,23,2971,2330,641,330,0,0,0,0,5,0,0,0,0,0,15,0,10,0,0,0,11,17,154,0,252,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,1980,428,544,3184,465,1702,1411,291,232,194,38,994,814,180,466,403,63,10,0,10,3152,183,1772,1438,961,477,34,44,64,0,142,819,526,373,152,80,56,503,3210,203,57,0,"$55,932","$60,905,800",1003,899,104,408,491,346,597,60,0,37,51,24,0,"$435,100","$207,932,000",27.562244248,3.5706340378
"4000400","Queens County","New York",4955,2294,2661,313,853,587,1691,1168,343,3109,445,489,102,802,0,0,4642,3097,1545,672,0,0,9,2,0,0,0,0,30,0,0,0,0,0,0,0,28,22,5,0,247,0,8,0,0,0,0,36,18,0,0,0,0,0,0,0,0,0,3202,732,462,4955,731,2671,2375,296,396,327,69,1400,1207,193,823,789,34,52,52,0,4906,271,2646,2309,1408,901,62,25,40,0,127,1115,640,681,364,206,124,666,4955,311,71,99,"$55,268","$91,939,100",1420,1321,99,619,702,482,928,10,0,146,28,6,0,"$446,900","$301,344,000",29.605687092,3.7509462528
"4000600","Queens County","New York",3779,1836,1943,306,785,519,1168,740,261,2254,197,572,0,592,0,38,3473,2081,1392,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,2169,670,415,3779,437,2001,1678,323,330,205,125,1050,924,126,547,484,63,74,65,9,3758,896,1981,1798,706,1092,153,0,5,0,158,758,481,539,237,262,155,531,3775,273,215,16,"$53,734","$71,282,000",1130,1020,110,573,447,417,680,33,0,188,21,34,0,"$391,200","$170,458,000",28.645200843,3.7009803922
"4000700","Queens County","New York",4520,2216,2304,205,404,286,2167,1039,419,929,2783,68,20,671,0,26,4315,1806,2509,301,0,0,11,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,14,77,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,3625,280,2089,4520,247,3131,2840,291,230,218,12,1991,1865,126,896,743,153,14,14,0,4476,577,2937,1583,378,1205,188,73,13,0,274,1000,725,1738,178,1463,1114,399,4518,184,290,40,"$72,344","$202,356,900",2780,2463,317,1836,627,232,1301,1247,0,106,26,31,39,"$798,200","$589,303,000",26.929357886,1.8343483557
"4000800","Queens County","New York",3807,1991,1816,285,749,338,1321,849,265,2416,579,155,0,604,0,26,3522,2279,1243,820,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,72,0,0,0,0,0,0,0,0,0,0,0,0,9,58,0,0,0,2435,552,526,3794,437,1994,1789,205,301,243,58,1020,997,23,642,518,124,31,31,0,3766,1075,2135,1672,675,997,100,15,20,31,166,832,617,398,109,183,115,562,3807,271,94,21,"$63,482","$76,784,200",1069,1015,54,460,555,549,488,32,0,35,28,23,0,"$415,700","$224,974,000",26.00798297,3.7507389163
"4001000","Queens County","New York",3488,1801,1687,240,677,468,1023,860,220,1750,532,205,0,865,0,14,3248,2106,1142,553,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,21,93,0,252,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,501,433,3476,417,1803,1585,218,297,216,81,846,726,120,640,623,17,20,20,0,3455,221,1771,1717,898,819,26,31,28,0,85,793,475,492,251,174,153,441,3488,204,137,26,"$58,750","$66,229,200",1072,967,105,561,406,249,802,0,21,91,43,25,0,"$428,000","$214,924,300",28.467322748,3.6070320579
"4001200","Queens County","New York",4407,2157,2250,450,626,371,1320,1255,385,2130,1121,215,0,855,0,7,3957,2675,1282,703,0,0,22,0,0,0,0,0,13,0,73,0,0,0,0,0,0,20,64,29,103,0,30,0,0,0,0,0,9,11,0,0,0,0,23,0,0,0,2960,554,734,4407,514,2382,2014,368,275,233,42,1103,893,210,927,819,108,77,69,8,4231,401,2606,1801,1077,724,114,55,17,0,186,1052,700,584,283,232,198,602,4407,342,49,81,"$56,250","$106,795,800",1355,1284,71,744,540,506,564,285,0,66,60,73,0,"$484,600","$265,029,000",25.92731482,3.4322429907
"4001400","Queens County","New York",4112,2201,1911,390,665,466,1230,974,387,2721,919,26,0,392,23,0,3722,2677,1045,815,0,0,0,0,0,0,7,0,0,0,23,0,0,0,0,0,0,0,47,43,100,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,2591,730,557,4087,651,2160,1935,225,289,227,62,1056,951,105,777,736,41,38,21,17,4045,234,2308,1804,998,806,29,33,37,0,99,831,528,520,208,217,182,506,4112,314,17,44,"$64,545","$84,838,300",1198,1048,150,517,531,391,778,29,0,155,0,14,0,"$429,200","$286,955,300",27.100242726,3.9236641221
"4001600","Queens County","New York",2743,1247,1496,166,511,383,708,729,246,1828,278,22,0,342,0,11,2577,2075,502,470,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,5,0,0,0,0,100,0,0,0,1683,522,340,2743,1013,1337,1086,251,317,201,116,601,527,74,419,358,61,0,0,0,2708,569,1668,1075,572,503,42,14,100,0,156,652,411,390,203,149,134,317,2742,108,92,41,"$45,108","$49,498,400",847,801,46,230,571,572,275,0,0,103,24,0,0,"$397,000","$250,206,000",25.720155859,3.4232209738
"4001800","Queens County","New York",3180,1641,1539,250,650,362,998,719,201,1960,390,200,0,582,0,12,2930,2027,903,520,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,115,0,0,0,0,0,0,0,15,34,0,0,0,0,5,0,0,0,1918,357,483,3165,662,1533,1397,136,178,174,4,808,737,71,497,436,61,50,50,0,3163,369,1784,1396,641,755,48,13,29,0,90,731,480,482,183,231,146,517,3180,188,104,46,"$55,776","$61,361,900",962,962,0,493,469,410,280,248,24,144,37,34,0,"$428,900","$213,411,000",26.022262528,3.3056133056
"4001900","Queens County","New York",998,471,527,36,137,79,464,154,128,428,371,11,18,154,0,0,962,450,512,131,0,0,0,6,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,147,493,998,40,653,564,89,32,0,32,431,400,31,147,121,26,43,43,0,998,284,630,368,126,242,20,19,13,0,52,195,132,367,43,304,215,115,998,34,103,0,"$75,694","$45,429,300",589,499,90,263,236,93,187,309,0,69,19,0,0,"$527,800","$113,807,000",25.908063012,2
"4002000","Queens County","New York",1675,832,843,169,304,107,522,452,121,937,236,100,0,319,0,22,1506,1040,466,229,0,0,0,0,0,0,0,0,0,0,25,0,0,12,0,0,0,0,15,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1095,207,333,1653,212,826,741,85,77,61,16,378,338,40,364,335,29,7,7,0,1635,158,992,683,346,337,46,16,10,0,72,418,286,213,88,81,50,226,1665,138,26,1,"$58,009","$38,144,900",532,499,33,214,285,237,283,0,12,52,4,0,0,"$442,000","$136,792,400",25.042847883,3.3366733467
"4002200","Queens County","New York",1872,916,956,23,381,146,502,685,135,1063,446,48,0,277,0,15,1849,1242,607,336,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,10,77,28,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,7,0,1322,212,271,1872,195,1102,1010,92,104,61,43,410,387,23,576,556,20,12,6,6,1860,195,1194,678,405,273,60,5,10,0,75,484,330,394,104,240,192,225,1860,68,67,0,"$60,882","$48,743,100",753,724,29,546,178,154,318,281,0,42,13,20,0,"$552,600","$94,915,000",27.737456518,2.5690607735
