time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-11T20:32:50.650Z,36.213,-120.777,8.73,3.04,ml,90,70,0.01983,0.07,nc,nc72650061,2016-08-25T01:22:51.040Z,"31km E of King City, California",earthquake,0.12,0.18,0.186,27,reviewed,nc,nc
2016-06-10T23:57:55.220Z,38.8253333,-122.7983333,2.94,3.31,ml,84,31,0.009373,0.06,nc,nc72649606,2016-08-25T01:22:51.040Z,"6km W of Cobb, California",earthquake,0.11,0.16,0.197,58,reviewed,nc,nc
2016-06-04T13:04:18.520Z,37.2076667,-122.1655,12.99,3.35,mw,223,137,0.1112,0.19,nc,nc72645676,2016-08-18T00:36:30.040Z,"9km NNW of Boulder Creek, California",earthquake,0.17,0.26,,4,reviewed,nc,nc
2016-05-31T23:03:31.840Z,38.8068333,-122.819,1.83,3.17,ml,86,32,0.008208,0.07,nc,nc72643806,2016-08-10T22:30:30.040Z,"6km WNW of The Geysers, California",earthquake,0.1,0.15,0.146,50,reviewed,nc,nc
2016-05-17T22:58:06.000Z,35.9686667,-120.5261667,7.83,3.5,mw,92,30,0.01493,0.06,nc,nc72636855,2016-07-22T19:39:11.040Z,"24km SW of Coalinga, California",earthquake,0.1,0.13,,4,reviewed,nc,nc
2016-05-16T06:26:54.410Z,38.8173333,-122.766,0,3,ml,85,19,0.01217,0.05,nc,nc72636250,2016-07-22T19:39:08.040Z,"3km W of Cobb, California",earthquake,0.07,0.14,0.201,45,reviewed,nc,nc
2016-05-12T05:29:55.440Z,38.8158333,-122.8206667,2.7,3.83,mw,83,31,0.009622,0.06,nc,nc72634195,2016-07-20T18:10:54.040Z,"7km NW of The Geysers, California",earthquake,0.1,0.16,,5,reviewed,nc,nc
2016-05-05T03:03:17.100Z,36.8393333,-121.57,6.16,3.03,ml,71,35,0.02542,0.1,nc,nc72630965,2016-07-19T20:03:13.040Z,"2km WSW of San Juan Bautista, California",earthquake,0.13,0.22,0.163,11,reviewed,nc,nc
2016-04-22T22:50:47.300Z,37.9328333,-123.0533333,9.2,3.01,ml,77,203,0.06889,0.13,nc,nc72626350,2016-07-08T02:49:18.040Z,"25km SW of Inverness, California",earthquake,0.3,0.32,0.251,41,reviewed,nc,nc
2016-04-08T12:58:31.010Z,38.8263333,-122.8495,1.74,3.77,mw,81,33,0.005885,0.06,nc,nc72619445,2016-06-21T01:14:03.040Z,"9km NW of The Geysers, California",earthquake,0.1,0.14,,4,reviewed,nc,nc
2016-03-31T10:41:52.440Z,36.7928333,-120.9848333,5.34,3.47,mw,97,52,0.151,0.11,nc,nc72615255,2016-06-10T23:32:59.040Z,"31km SSW of Los Banos, California",earthquake,0.14,0.45,,7,reviewed,nc,nc
2016-03-30T03:51:10.750Z,37.346,-121.695,9.68,3.05,ml,175,41,0.04201,0.15,nc,nc72614655,2016-06-10T23:32:57.040Z,"11km E of Alum Rock, California",earthquake,0.12,0.19,0.149,53,reviewed,nc,nc
